comments c,postHistory ph,badges b,users u#u.Id=c.UserId,u.Id=ph.UserId,u.Id=b.UserId#ph.CreationDate,<=,1402099557,u.Reputation,>=,1,u.Reputation,<=,511,u.DownVotes,<=,0#11082610
comments c,postHistory ph,badges b,users u#u.Id=c.UserId,u.Id=ph.UserId,u.Id=b.UserId#c.CreationDate,>=,1279682252,c.CreationDate,<=,1410336349,u.UpVotes,>=,0,u.UpVotes,<=,662#1078455353
votes v,posts p,badges b,users u#p.Id=v.PostId,u.Id=p.OwnerUserId,u.Id=b.UserId#p.ViewCount,<=,3082,p.AnswerCount,<=,3,p.FavoriteCount,>=,0,b.Date,>=,1280251124,b.Date,<=,1410216349,u.Views,<=,164#461254
postLinks pl,posts p,users u,badges b#p.Id=pl.RelatedPostId,u.Id=p.OwnerUserId,u.Id=b.UserId#pl.LinkTypeId,=,3,p.PostTypeId,=,1,p.ViewCount,>=,0,p.ViewCount,<=,6676,p.AnswerCount,>=,0,u.Reputation,>=,1,u.DownVotes,>=,0,b.Date,>=,1279580947,b.Date,<=,1410288575#10443
comments c,posts p,postLinks pl,votes v#p.Id=c.PostId,c.PostId=pl.PostId,pl.PostId=v.PostId#p.Score,=,3,p.ViewCount,>=,0,p.ViewCount,<=,3889,p.AnswerCount,>=,0,p.CommentCount,>=,0,v.VoteTypeId,=,2#11701
comments c,posts p,votes v,users u#u.Id=c.UserId,u.Id=p.OwnerUserId,u.Id=v.UserId#c.Score,=,2,v.VoteTypeId,=,5,u.Views,>=,0#791050190
comments c,posts p,votes v,users u#u.Id=c.UserId,u.Id=p.OwnerUserId,u.Id=v.UserId#p.AnswerCount,>=,0,p.CommentCount,>=,0,p.CommentCount,<=,8,p.CreationDate,>=,1280220143,v.BountyAmount,>=,0,u.Reputation,<=,1382,u.DownVotes,<=,0,u.CreationDate,>=,1285855368#392512
comments c,postLinks pl,posts p,users u,badges b#p.Id=pl.RelatedPostId,p.Id=c.PostId,u.Id=b.UserId,u.Id=p.OwnerUserId#c.CreationDate,>=,1280450545,c.CreationDate,<=,1410374869,pl.CreationDate,>=,1317840523,p.PostTypeId,=,1,p.Score,<=,20,p.AnswerCount,>=,0,p.AnswerCount,<=,6,u.Reputation,<=,624,u.Views,>=,0,u.Views,<=,14,u.DownVotes,>=,0,u.DownVotes,<=,27,u.UpVotes,>=,0#2382
comments c,posts p,postLinks pl,postHistory ph,votes v,users u#p.Id=pl.PostId,p.Id=c.PostId,p.Id=ph.PostId,p.Id=v.PostId,u.Id=p.OwnerUserId#c.CreationDate,<=,1410124697,p.Score,>=,-1,p.Score,<=,45,pl.LinkTypeId,=,1,ph.CreationDate,>=,1293615866,v.BountyAmount,=,0,v.CreationDate,>=,1279584000,v.CreationDate,<=,1410566400,u.UpVotes,>=,0#0
postLinks pl,posts p,users u,badges b#p.Id=pl.RelatedPostId,u.Id=p.OwnerUserId,u.Id=b.UserId#pl.CreationDate,<=,1408934581,p.PostTypeId,=,1,p.Score,=,1,p.FavoriteCount,>=,0,p.FavoriteCount,<=,19,u.Reputation,>=,1,u.Reputation,<=,306,u.DownVotes,=,0,u.CreationDate,>=,1280361360#907
